disbursed_amount,asset_cost,ltv,branch_id,Date_of_Birth,Employment_Type,DisbursalDate,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS_SCORE,DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,CREDIT_HISTORY_LENGTH,NO_OF_INQUIRIES,loan_default
78151,107074,74.25,135,5/6/1987,Self employed,25-10-18,1,1,1,1,0,0,0,0,0yrs 0mon,0,1
58409,70669,84.9,5,29-05-96,Salaried,16-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,2,0
46349,68751,69.82,159,13-12-93,Self employed,8/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
67269,91362,75.52,16,28-04-96,Salaried,18-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
56595,71514,84.52,85,1/1/1974,Salaried,19-09-18,1,1,0,0,0,0,825,0,1yrs 4mon,0,0
66002,81642,84.52,10,1/1/1986,Self employed,30-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
49349,70283,71.14,68,23-08-90,Self employed,31-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
45795,61513,76.41,73,15-09-78,Salaried,20-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
53303,63376,86.78,3,16-09-89,Salaried,7/9/2018,1,1,1,0,0,0,710,0,0yrs 6mon,0,1
53478,70418,77.96,2,4/3/1963,Salaried,16-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
51303,111955,47.34,103,20-08-63,Salaried,17-10-18,1,1,0,0,0,0,835,0,1yrs 11mon,0,0
89143,113587,79.85,2,18-10-85,Salaried,12/10/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
96939,145449,68.37,65,1/3/1963,Salaried,29-10-18,1,0,0,1,0,0,694,0,4yrs 5mon,0,1
48349,83069,58.99,10,20-05-85,Self employed,25-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
20574,39605,55.55,130,9/10/1966,Self employed,9/8/2018,1,1,0,0,0,0,760,0,1yrs 8mon,0,0
33484,51530,65.98,20,30-06-84,Self employed,27-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
45715,53798,89.22,61,1/1/1978,Self employed,14-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
44145,74500,61.74,152,1/1/1983,Self employed,6/9/2018,1,1,0,0,0,0,17,0,0yrs 2mon,0,0
47049,65000,73.38,2,9/1/1995,Salaried,20-08-18,1,1,1,0,0,0,0,0,0yrs 0mon,0,0
34639,61380,57.84,62,1/1/1989,Salaried,14-09-18,1,1,0,0,0,0,825,0,0yrs 11mon,0,0
49638,62588,83.88,70,30-01-86,Salaried,14-09-18,1,1,0,0,0,0,708,0,0yrs 8mon,0,0
60213,70636,86.36,100,1/1/1980,Self employed,24-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,1,1
55659,71800,79.39,67,1/1/1975,Salaried,15-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
44894,61248,79.19,74,1/1/1959,Self employed,7/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
50203,66238,77.75,67,5/12/1996,Salaried,20-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
68169,102343,68.4,103,15-08-89,Self employed,31-08-18,1,1,1,0,0,0,0,0,0yrs 0mon,1,1
50578,72985,71.25,251,30-11-69,Self employed,24-09-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,1
61947,72735,87.99,152,22-04-76,Self employed,21-08-18,1,1,0,0,0,0,300,0,13yrs 6mon,0,0
52478,66275,81.48,67,20-08-92,Self employed,14-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
69600,83780,84.75,136,1/1/1983,Self employed,23-08-18,1,1,0,0,0,0,845,0,3yrs 0mon,0,0
65382,75540,89.36,77,2/6/1967,Salaried,22-10-18,1,1,0,0,0,0,637,0,5yrs 9mon,2,1
51803,68183,79.2,138,31-05-95,Self employed,17-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
56259,80145,72.37,1,6/8/1990,Self employed,29-09-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
38139,85563,46.75,9,2/5/1967,Self employed,24-10-18,1,1,0,0,0,0,796,0,2yrs 0mon,0,1
64382,87500,74.86,2,5/11/1974,Salaried,22-08-18,1,1,0,0,0,0,488,0,5yrs 4mon,0,0
51295,60663,87.86,61,1/3/1976,Self employed,25-10-18,1,1,0,0,0,0,300,1,0yrs 0mon,0,0
26029,62882,42.94,67,7/5/1991,Self employed,17-08-18,1,1,0,0,0,0,738,0,0yrs 6mon,1,0
59259,75500,79.47,16,10/5/1972,Self employed,31-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
65382,75661,89.21,13,25-05-79,Self employed,13-10-18,1,1,0,0,0,0,760,0,1yrs 3mon,0,1
44849,60200,77.24,68,12/6/1983,Salaried,16-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
47645,66296,74.36,254,1/1/1963,Salaried,17-08-18,1,0,0,1,0,0,300,0,12yrs 6mon,0,0
58759,73411,81.73,159,25-08-86,Self employed,3/10/2018,1,1,0,0,0,0,694,0,1yrs 4mon,1,0
57876,78353,80.41,7,29-03-70,Self employed,20-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
52078,60129,89.81,63,1/1/1989,Salaried,29-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
59447,68570,89.98,70,22-10-66,Salaried,9/8/2018,1,1,0,0,0,0,763,0,4yrs 6mon,0,0
48049,65612,75.44,67,1/6/1964,Salaried,27-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,1,0
46883,79192,63.77,152,12/4/1995,Self employed,29-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
49348,62270,82.33,36,2/9/1965,Self employed,14-08-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
57313,66474,88.46,77,1/8/1986,Salaried,29-08-18,1,1,0,0,0,0,630,1,4yrs 2mon,1,0
66669,99300,68.98,19,5/6/1993,Salaried,4/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
38894,72500,55.86,152,22-02-85,Self employed,30-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,1,0
76751,108369,72.9,255,11/2/1994,Self employed,8/10/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
42234,69500,62.36,2,26-08-95,Salaried,13-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
42994,108802,41.36,7,1/1/1996,Self employed,14-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
44345,58370,79.66,147,8/12/1999,,23-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
61213,81370,77.42,1,1/1/1973,Self employed,21-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
72623,104351,70.91,103,1/1/1989,Self employed,19-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
36439,51400,71.98,136,20-11-80,Self employed,14-09-18,1,1,0,0,0,0,708,0,0yrs 9mon,0,0
61463,74388,84.69,5,26-05-95,Salaried,26-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
59947,83180,74.54,152,5/8/1997,Salaried,29-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,1
64469,91967,71.55,135,10/7/1991,Self employed,6/10/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
54759,70842,79.75,20,6/6/1984,Self employed,31-10-18,1,1,0,0,0,0,371,2,1yrs 11mon,3,0
43394,80752,55.73,10,8/5/1986,Self employed,24-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
42044,66600,67.57,3,20-01-95,Salaried,24-09-18,1,1,1,0,0,0,300,2,6yrs 10mon,1,1
51578,67863,78.1,250,5/7/1979,Salaried,26-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,1,0
52500,63883,84.53,16,1/1/1999,,20-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
58413,70473,85,17,1/1/1975,Self employed,13-08-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
43794,72037,62.47,104,7/11/1988,Self employed,16-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
31484,67593,48.82,65,1/1/1994,Self employed,11/9/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
31371,77070,42.82,42,14-07-92,Self employed,27-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
43794,72368,62.18,67,1/1/1978,Salaried,20-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
37839,62650,61.29,2,13-01-83,Self employed,12/10/2018,1,1,0,0,0,0,16,0,1yrs 10mon,0,0
58259,75054,78.61,100,26-09-72,Self employed,26-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,1,0
53295,64890,86.72,77,27-04-88,Salaried,20-08-18,1,1,0,0,0,0,825,0,1yrs 1mon,0,0
53578,75051,72.62,36,1/1/1994,Self employed,31-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
42210,132288,33.26,65,10/2/1990,Salaried,23-08-18,1,0,1,1,0,0,0,0,0yrs 0mon,0,0
53303,74460,73.87,16,10/1/1965,Salaried,29-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
66382,76974,88.99,79,2/5/1981,Self employed,18-08-18,1,1,0,0,0,0,836,0,2yrs 1mon,0,1
46849,67830,71.5,202,15-06-87,Self employed,20-08-18,1,1,0,0,0,0,615,0,1yrs 9mon,0,0
63213,75316,84.98,146,23-06-92,Salaried,19-09-18,1,1,0,0,0,0,738,0,2yrs 11mon,0,0
34939,61558,58.48,258,11/10/1990,Salaried,14-08-18,1,1,1,0,0,0,0,0,0yrs 0mon,0,0
58013,77729,75.9,36,1/10/1983,Self employed,26-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
48349,66846,74.8,160,15-04-73,Salaried,21-10-18,1,1,1,0,0,0,598,1,1yrs 4mon,1,0
54859,68500,82.63,135,4/1/1984,Salaried,18-08-18,1,1,0,0,0,0,773,0,3yrs 11mon,0,0
48749,70520,70.9,67,10/2/1993,Self employed,24-08-18,1,1,0,0,0,0,653,1,0yrs 8mon,0,0
56633,74754,78.93,61,1/1/1991,Salaried,13-10-18,1,1,0,0,0,0,17,0,0yrs 2mon,0,1
56313,101670,57.34,1,10/7/1995,Self employed,25-09-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
87765,142872,65.09,103,1/1/1984,,22-10-18,1,1,1,0,0,0,825,0,2yrs 0mon,0,0
66482,97110,72.08,11,18-05-95,Self employed,18-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
53503,60659,89.85,72,21-02-83,Self employed,31-08-18,1,1,1,0,0,0,0,0,0yrs 0mon,0,0
61313,80750,77.65,13,1/6/1993,Salaried,20-09-18,1,1,0,0,0,0,557,0,4yrs 6mon,0,0
57359,69868,84.3,146,10/7/1982,Salaried,27-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
51903,60606,88.44,257,1/1/1992,Self employed,22-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
54013,75905,73.78,251,5/4/1980,Self employed,26-09-18,1,0,1,0,0,0,693,0,6yrs 6mon,8,1
49103,64000,78.28,2,18-11-59,Self employed,28-08-18,1,1,0,0,0,0,626,1,6yrs 5mon,0,0
41894,61660,69.74,43,24-06-94,Self employed,6/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
56759,97934,59.73,120,1/7/1995,Self employed,23-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
82686,117549,71.46,11,2/4/1994,Self employed,26-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
44394,68900,65.31,64,1/1/1983,Self employed,14-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
75779,103355,74.21,136,18-04-98,,19-09-18,1,1,0,0,0,0,741,0,3yrs 11mon,0,0
44394,58124,77.42,67,2/10/1983,Self employed,19-09-18,1,1,0,1,0,0,0,0,0yrs 0mon,0,0
58300,80972,73.53,2,21-09-90,Self employed,30-10-18,1,1,0,0,0,0,380,1,0yrs 9mon,0,0
37939,67323,57.93,61,6/10/1969,Self employed,19-09-18,1,1,0,0,0,0,825,0,0yrs 11mon,0,0
41894,59275,72.54,14,1/1/1990,Self employed,31-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
56413,66082,88.38,62,1/1/1973,Salaried,14-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
43894,62800,70.86,258,20-05-85,Self employed,31-10-18,1,1,0,0,0,0,681,0,0yrs 6mon,0,0
31484,63458,52,105,1/12/1976,Salaried,31-08-18,1,1,0,0,0,0,763,0,2yrs 6mon,0,0
67582,86453,79.81,135,13-11-92,Salaried,29-08-18,1,1,1,0,0,0,786,0,1yrs 8mon,1,0
31984,50427,64.45,1,7/8/1980,Self employed,26-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
52762,61708,89.75,61,10/12/1994,Salaried,30-09-18,1,0,0,1,0,0,659,0,2yrs 10mon,0,0
53078,64560,83.64,105,1/1/1975,Salaried,22-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
17060,64044,28.11,10,1/1/1984,Self employed,14-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
42014,72894,60.36,120,1/1/1984,Self employed,21-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
56779,66509,88.71,5,29-06-96,Salaried,16-08-18,1,1,1,0,0,0,0,0,0yrs 0mon,0,0
56727,77714,74.91,254,1/10/1989,Self employed,29-08-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,1
48349,92956,53.79,11,17-04-96,Self employed,11/10/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
52803,64012,84.36,5,26-06-96,Salaried,21-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
34061,67171,52.11,67,4/8/1995,Salaried,11/10/2018,1,1,0,0,0,0,17,0,0yrs 2mon,0,0
50878,58400,88.87,62,1/1/1987,Salaried,25-08-18,1,1,0,0,0,0,501,0,1yrs 9mon,2,0
35439,71001,53.52,146,4/9/1986,Salaried,31-08-18,1,1,0,0,0,0,775,0,10yrs 11mon,0,0
63032,75394,85,5,25-04-85,Salaried,3/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,0
59597,76772,79,146,15-04-89,Self employed,25-09-18,1,1,0,0,0,0,15,0,0yrs 1mon,0,1
44849,59682,77.08,61,1/1/1982,Self employed,5/9/2018,1,1,0,0,0,0,771,0,1yrs 2mon,0,1
36749,75072,50.62,10,1/1/1981,Self employed,11/10/2018,1,1,0,0,0,0,431,0,2yrs 6mon,0,0
49538,87963,59.12,120,1/1/1994,Self employed,14-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
82686,121333,69.23,101,11/1/1983,Salaried,13-10-18,1,1,1,0,0,0,620,0,5yrs 4mon,1,0
44845,61672,75.72,1,1/1/1985,Self employed,18-09-18,1,1,0,0,0,0,640,0,2yrs 1mon,0,0
40894,84084,49.36,1,1/1/1991,Self employed,9/10/2018,1,1,0,0,0,0,738,0,0yrs 5mon,0,0
56584,91571,63.96,254,28-02-83,Self employed,23-08-18,1,0,0,0,1,0,774,0,3yrs 3mon,0,1
42894,72058,62.45,68,1/6/1975,Self employed,26-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
37839,71418,55.17,65,9/8/1987,Salaried,26-10-18,1,0,0,1,0,0,300,1,6yrs 9mon,0,0
51303,69466,76.3,1,18-01-96,Salaried,8/9/2018,1,0,0,1,0,0,749,0,3yrs 4mon,0,0
57259,74968,78.7,11,18-03-90,Self employed,20-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
90555,162867,56.49,29,28-06-00,,29-10-18,1,1,0,0,0,0,815,0,3yrs 6mon,0,0
53639,62572,89.5,160,10/9/1974,Self employed,11/9/2018,1,1,0,0,0,1,669,0,11yrs 7mon,0,0
58047,75127,80,36,1/10/1989,Self employed,14-09-18,1,0,1,1,0,0,0,0,0yrs 0mon,0,1
69817,80040,89.33,135,25-03-88,Salaried,26-10-18,1,1,0,0,0,0,738,0,0yrs 7mon,0,1
53303,65561,83.89,19,1/6/1971,Salaried,12/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,0
67669,105365,65.49,79,5/4/1995,Self employed,21-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
53078,67347,81.67,42,27-11-93,Salaried,3/10/2018,1,1,0,0,0,0,738,0,0yrs 3mon,0,0
57113,71795,82.32,2,5/5/1973,Salaried,26-09-18,1,1,0,0,0,0,708,0,2yrs 7mon,0,0
67382,83193,82.94,1,1/1/1992,Self employed,31-10-18,1,0,0,1,0,0,300,0,6yrs 1mon,0,1
49078,68782,74.15,251,23-02-94,Self employed,23-08-18,1,1,1,0,0,0,0,0,0yrs 0mon,0,1
49078,59242,86.09,19,1/6/1981,Self employed,25-09-18,1,1,0,0,0,0,681,0,2yrs 0mon,2,0
57913,71260,83.08,18,17-08-73,Salaried,28-09-18,1,1,0,0,0,0,738,0,0yrs 10mon,0,1
47945,59386,83.86,74,15-12-92,Salaried,24-09-18,1,1,0,0,0,0,737,0,0yrs 3mon,1,1
38939,66712,59.21,48,15-03-62,Self employed,25-10-18,1,1,0,0,0,0,15,0,0yrs 0mon,0,0
51203,66660,78.76,67,17-01-94,Salaried,28-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
41994,69401,64.84,5,20-12-86,Salaried,4/9/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
56759,78755,73.01,36,1/12/1994,Self employed,25-09-18,1,0,1,1,0,0,0,0,0yrs 0mon,0,0
61359,84340,74,36,28-05-91,Self employed,24-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
53047,70892,77.58,10,5/2/1989,Self employed,24-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
54303,72711,75.64,14,27-04-84,Self employed,27-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
51003,64550,80.87,67,1/11/1979,Self employed,10/9/2018,1,1,0,0,0,0,15,0,0yrs 0mon,0,0
60863,71463,87.46,63,21-04-81,Salaried,9/10/2018,1,1,0,0,0,0,825,0,0yrs 6mon,0,0
46949,77580,61.36,16,29-08-88,Salaried,24-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
53249,64315,88.63,5,1/6/1986,Self employed,17-08-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
40394,52725,79.66,103,1/1/1985,Self employed,25-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
30984,48500,64.95,207,20-12-96,Self employed,18-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
56659,68512,84.66,67,1/1/1974,Salaried,30-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
57259,71600,82.4,17,27-11-71,Self employed,31-10-18,1,1,0,0,0,0,737,0,4yrs 8mon,1,0
53803,68839,79.9,34,7/8/1990,Salaried,27-09-18,1,0,0,1,0,0,698,0,1yrs 1mon,0,0
58509,88939,66.9,64,25-05-82,Salaried,22-08-18,1,1,0,0,0,0,635,0,5yrs 8mon,0,0
51038,58350,89.97,15,1/6/1991,Salaried,22-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
64522,102195,66.54,42,1/1/1988,Self employed,30-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
57213,71055,83.03,61,1/1/1976,Salaried,25-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
58759,79000,75.95,135,1/1/1986,Self employed,27-10-18,1,1,0,0,0,0,763,0,0yrs 8mon,0,0
58837,68355,89.24,34,28-01-84,Self employed,21-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
65882,78900,84.92,147,9/11/1977,Salaried,22-10-18,1,1,0,0,0,0,300,0,2yrs 11mon,0,0
66382,79635,85.39,7,1/1/1973,Self employed,27-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
72717,105467,71.02,162,17-08-88,Salaried,18-08-18,1,1,0,0,0,0,728,0,1yrs 0mon,0,0
65882,94000,71.28,2,9/12/1966,Self employed,26-10-18,1,1,0,0,0,0,825,0,1yrs 1mon,0,1
44349,78811,58.37,11,20-08-97,Self employed,27-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
46949,64624,74.28,18,26-07-78,Self employed,29-10-18,1,1,0,0,0,0,627,0,2yrs 10mon,0,1
57213,71957,83.38,64,1/1/1993,Salaried,8/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
58013,69510,86.32,250,15-10-80,Salaried,29-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
57713,67026,88.03,70,4/2/1982,Self employed,20-10-18,1,1,0,0,0,0,300,0,2yrs 8mon,0,1
43894,77771,57.86,20,1/7/1965,Salaried,6/9/2018,1,1,0,0,0,0,678,0,10yrs 7mon,0,0
75751,102895,74.83,69,2/3/1995,Self employed,15-10-18,1,1,0,0,0,0,710,0,1yrs 6mon,1,0
56414,72509,84.27,74,1/1/1978,Self employed,22-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
70017,96000,75,147,2/7/1977,Salaried,20-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
68882,83069,84.27,10,6/11/1991,Self employed,27-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,0
46499,63860,78.3,101,1/1/1985,Self employed,3/8/2018,1,1,0,0,0,0,825,0,0yrs 6mon,0,0
53590,71490,76.65,8,20-02-90,Salaried,25-09-18,1,0,0,1,0,0,651,1,3yrs 6mon,0,0
45349,72380,64.94,19,2/6/1982,Salaried,28-08-18,1,1,0,0,0,0,738,0,0yrs 4mon,1,1
57013,67129,86.4,136,1/1/1975,Self employed,25-10-18,1,1,0,0,0,0,738,0,2yrs 1mon,2,1
75079,146862,51.75,9,20-09-77,Self employed,25-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
43394,66781,65.89,48,1/1/1993,Self employed,19-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
48600,59327,84.28,79,19-05-93,Self employed,31-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,1,0
51653,81185,67.75,104,1/1/1971,Salaried,27-10-18,1,1,0,0,0,0,825,0,0yrs 6mon,0,0
57059,67404,86.05,72,5/9/1994,Salaried,4/9/2018,1,1,0,0,0,0,774,0,2yrs 1mon,0,0
60213,78092,79.39,9,10/10/1988,Self employed,15-10-18,1,1,0,0,0,0,749,0,2yrs 11mon,0,0
66091,101209,66.9,254,13-06-87,Self employed,20-10-18,1,0,0,1,0,0,0,0,0yrs 0mon,0,1
66182,94782,74.91,3,26-07-74,Self employed,6/9/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
52303,70120,77.01,68,15-11-85,Self employed,10/9/2018,1,1,0,0,0,0,706,1,5yrs 6mon,1,0
46849,67286,74.31,74,27-07-87,Salaried,25-10-18,1,1,0,0,0,0,650,0,4yrs 8mon,0,0
49349,66118,75.62,3,1/1/1980,Self employed,31-10-18,1,1,1,0,0,0,714,0,2yrs 6mon,0,0
41894,60614,70.94,14,5/11/1995,Self employed,3/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
45814,67310,69.83,18,30-10-96,Salaried,26-09-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
45349,64735,72.6,79,8/3/1993,Salaried,31-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
51303,59265,89.43,3,3/3/1985,Self employed,4/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,1
27129,64484,43.42,18,8/10/1973,Self employed,16-08-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
71417,85513,84.9,82,1/5/1971,Salaried,28-10-18,1,1,0,0,0,0,300,1,3yrs 8mon,0,1
48849,63514,78.72,67,1/1/1992,Salaried,18-09-18,1,1,0,0,0,0,680,0,1yrs 0mon,0,0
43094,64544,67.71,34,8/3/1974,Self employed,11/10/2018,1,1,0,0,0,0,729,0,6yrs 3mon,0,1
52203,66739,82.41,5,3/6/1965,Salaried,8/8/2018,1,0,0,0,1,0,0,0,0yrs 0mon,0,0
48500,64089,78.02,18,22-07-76,Salaried,23-09-18,1,1,0,0,0,0,16,0,2yrs 3mon,0,0
39894,68286,60.77,74,1/1/1982,Salaried,5/9/2018,1,1,0,0,0,0,576,1,0yrs 6mon,0,0
56259,72273,81.63,138,9/2/1991,Self employed,6/10/2018,1,1,1,0,0,0,0,0,0yrs 0mon,0,0
47538,71820,67.89,147,1/1/1969,Self employed,16-10-18,1,1,0,0,0,0,0,0,0yrs 0mon,0,0
44349,62192,73.96,34,1/1/1992,Self employed,31-08-18,1,1,0,0,0,0,738,0,0yrs 3mon,2,0
63447,77159,84.24,2,20-07-76,Self employed,26-10-18,1,1,0,0,0,0,727,0,1yrs 2mon,0,0
53579,69175,79.99,147,7/7/1992,Salaried,30-10-18,1,1,0,0,0,0,763,0,0yrs 6mon,0,1
